time_stamp	px_state	py_state	v_state	yaw_angle_state	yaw_rate_state	sensor_type	NIS	px_measured	py_measured	px_ground_truth	py_ground_truth	vx_ground_truth	vy_ground_truth
1477010443000000	0.312243	0.58034	1	1	0.1	lidar	0	0.312243	0.58034	0.6	0.6	5.19994	0
1477010443050000	0.647293	0.759974	4.83322	1.14354	0.111674	radar	17.7553	0.862916	0.534212	0.859997	0.600045	5.19975	0.00179686
1477010443100000	1.067	0.598592	4.91485	0.209114	0.0256724	lidar	4.35935	1.17385	0.481073	1.11998	0.600225	5.19943	0.00538996
1477010443150000	1.26601	0.519947	5.00618	0.0177559	0.0163206	radar	2.19794	0.969149	0.397513	1.37996	0.600629	5.19898	0.0107781
1477010443200000	1.55779	0.572112	5.01886	0.098855	0.0492178	lidar	0.902977	1.65063	0.62469	1.6399	0.601347	5.19839	0.0179597
1477010443250000	1.79739	0.56715	5.33997	0.0902511	0.143245	radar	1.84163	1.62331	0.499091	1.89982	0.60247	5.19766	0.0269323
1477010443300000	2.09702	0.609393	5.36435	0.106424	0.160594	lidar	0.627821	2.18882	0.648739	2.1597	0.604086	5.19678	0.0376932
1477010443350000	2.31947	0.646782	5.25335	0.134361	0.15648	radar	1.91796	1.96701	0.557117	2.41954	0.606284	5.19573	0.0502389
1477010443400000	2.59536	0.677493	5.27319	0.128127	0.113446	lidar	0.216517	2.65526	0.66598	2.67932	0.609155	5.1945	0.0645654
1477010443450000	2.86786	0.664904	5.29967	0.0666447	-0.114161	radar	0.324471	2.92034	0.645898	2.93904	0.612786	5.19309	0.080668
1477010443500000	3.10636	0.669648	5.27647	0.0516703	-0.152079	lidar	0.554178	3.01222	0.637046	3.19869	0.617267	5.19147	0.0985415
1477010443550000	3.3977	0.56088	5.33241	-0.119224	-0.677238	radar	2.27141	3.56096	0.485311	3.45825	0.622685	5.18963	0.11818
1477010443600000	3.70294	0.449623	5.39564	-0.254378	-0.976647	lidar	3.29317	3.89365	0.311793	3.71772	0.62913	5.18754	0.139576
1477010443650000	3.98255	0.54183	5.39949	-0.0919063	-0.352169	radar	3.82573	4.19786	0.698311	3.97708	0.636689	5.18519	0.162724
1477010443700000	4.2593	0.535187	5.40368	-0.0891541	-0.299373	lidar	0.256599	4.30935	0.578564	4.23632	0.645449	5.18256	0.187614
1477010443750000	4.52118	0.569238	5.36629	-0.0502731	-0.177975	radar	1.26725	4.61908	0.68951	4.49542	0.655498	5.17962	0.214238
1477010443800000	4.7163	0.677278	5.25044	0.0555428	0.0713869	lidar	10.4724	4.35143	0.899174	4.75437	0.666921	5.17634	0.242587
1477010443850000	4.97096	0.673473	5.22001	0.0407766	0.0311662	radar	2.17522	5.20901	0.66599	5.01315	0.679804	5.1727	0.272649
1477010443900000	5.27523	0.667843	5.27186	0.0266239	0.00103119	lidar	3.15587	5.51894	0.648233	5.27175	0.694234	5.16867	0.304413
1477010443950000	5.53318	0.675537	5.27847	0.029281	0.00805523	radar	1.46731	5.22834	0.639362	5.53013	0.710295	5.16422	0.337868
1477010444000000	5.8292	0.689238	5.31341	0.0327551	0.0141634	lidar	1.95958	6.022	0.708619	5.78828	0.728072	5.15932	0.372999
1477010444050000	6.07708	0.609257	5.28328	-0.0335135	-0.110336	radar	4.13004	5.89392	0.373584	6.04618	0.747647	5.15393	0.409793
1477010444100000	6.33625	0.728	5.27064	0.0514077	0.0471891	lidar	3.42776	6.34249	0.948833	6.30379	0.769103	5.14803	0.448233
1477010444150000	6.58937	0.761041	5.25016	0.0659955	0.0660106	radar	0.774617	6.62134	0.836138	6.5611	0.792523	5.14157	0.488305
